
(5.0 2.0 0.0 7.0 4.0 1.0 3.0 6.0 ) , [101,010,000,111,100,001,011,110]
(4.0 6.0 1.0 3.0 7.0 0.0 2.0 5.0 ) , [100,110,001,011,111,000,010,101]
(6.0 4.0 2.0 0.0 5.0 7.0 1.0 3.0 ) , [110,100,010,000,101,111,001,011]
(2.0 5.0 7.0 0.0 4.0 6.0 1.0 3.0 ) , [010,101,111,000,100,110,001,011]
(4.0 1.0 7.0 0.0 3.0 6.0 2.0 5.0 ) , [100,001,111,000,011,110,010,101]
(4.0 6.0 3.0 0.0 2.0 7.0 5.0 1.0 ) , [100,110,011,000,010,111,101,001]
(3.0 1.0 6.0 2.0 5.0 7.0 4.0 0.0 ) , [011,001,110,010,101,111,100,000]
(6.0 3.0 1.0 4.0 7.0 0.0 2.0 5.0 ) , [110,011,001,100,111,000,010,101]
(4.0 0.0 7.0 5.0 2.0 6.0 1.0 3.0 ) , [100,000,111,101,010,110,001,011]
(6.0 2.0 0.0 5.0 7.0 4.0 1.0 3.0 ) , [110,010,000,101,111,100,001,011]
(6.0 2.0 7.0 1.0 4.0 0.0 5.0 3.0 ) , [110,010,111,001,100,000,101,011]
(3.0 0.0 4.0 7.0 5.0 2.0 6.0 1.0 ) , [011,000,100,111,101,010,110,001]
(4.0 0.0 7.0 3.0 1.0 6.0 2.0 5.0 ) , [100,000,111,011,001,110,010,101]
(2.0 6.0 1.0 7.0 5.0 3.0 0.0 4.0 ) , [010,110,001,111,101,011,000,100]
(5.0 3.0 6.0 0.0 7.0 1.0 4.0 2.0 ) , [101,011,110,000,111,001,100,010]
(0.0 6.0 4.0 7.0 1.0 3.0 5.0 2.0 ) , [000,110,100,111,001,011,101,010]
(5.0 0.0 4.0 1.0 7.0 2.0 6.0 3.0 ) , [101,000,100,001,111,010,110,011]
(2.0 6.0 1.0 7.0 4.0 0.0 3.0 5.0 ) , [010,110,001,111,100,000,011,101]
(5.0 3.0 0.0 4.0 7.0 1.0 6.0 2.0 ) , [101,011,000,100,111,001,110,010]
(4.0 6.0 0.0 3.0 1.0 7.0 5.0 2.0 ) , [100,110,000,011,001,111,101,010]
(0.0 4.0 7.0 5.0 2.0 6.0 1.0 3.0 ) , [000,100,111,101,010,110,001,011]
(4.0 2.0 0.0 5.0 7.0 1.0 3.0 6.0 ) , [100,010,000,101,111,001,011,110]
